userid,college,status
jrotham7b,Clarkson University,withdrawn
acarpenter8n,Berry College,accepted
emedddm,Mount Holyoke College,pending
dlaurencot8r,Vassar College,waitlisted
eitzcovichchc6,"University of Nevada, Las Vegas",pending
apail97,University of Arkansas,waitlisted
mborland7v,University of Houston,pending
kdovydenasqf,Iona College,waitlisted
llugton5g,Kalamazoo College,denied
nraglesa2,Berry College,denied
rraynerb9,Williams College,waitlisted
jschneidar3z,School of the Art Institute of Chicago,waitlisted
dlouther5,Mount Holyoke College,waitlisted
wstallworthy15,"California State University, Monterey Bay",accepted
lharbertsonn7,William Jewell College,pending
jbaggedq,Missouri University of Science and Technology,denied
rfenbyg6,University of Hartford,denied
apail97,Williams College,denied
jbuttruml2,Nova Southeastern University,accepted
dyessonfr,University of Alabama at Birmingham,withdrawn
rfarryanl6,DePaul University,accepted
lfoadgs,Nova Southeastern University,accepted
amottershaw7f,San Diego State University,waitlisted
amittoniv,Rochester Institute of Technology,deferred
nelstuba,University of Massachusetts Amherst,denied
dbabinski6k,University of Houston,withdrawn
tfeltennp,Rice University,deferred
mlaweycd,Clarkson University,pending
rledinghameg,Mercer University,waitlisted
ahevner73,Hendrix College,denied
dfrancesch2s,Temple University,withdrawn
lsearlhj,Williams College,pending
soreaganku,Mount Holyoke College,deferred
tbruckmanh7,Stevenson University,waitlisted
ncaldwallc4,Massachusetts Institute of Technology,waitlisted
llutonjp,Gannon University,waitlisted
mkenricka0,Drake University,accepted
vhubbinsmh,Eastern Washington University,deferred
tnewcomelp,American University,pending
kpetrichatlw,"University of California, Santa Barbara",accepted
mtremlettad,Reed College,accepted
lantonowiczrb,Texas Christian University,deferred
rmarkovap7,DePaul University,deferred
htelegamd,Rochester Institute of Technology,waitlisted
bcroughan34,Providence College,pending
tetherson6s,Providence College,deferred
sdeenyin,Temple University,waitlisted
kjaquestu,Hope College,pending
amaccallisternq,Princeton University,withdrawn
rbrydonj6,Fordham University,accepted
mmcgaughayck,Missouri University of Science and Technology,denied
apaskinsro,University of San Diego,pending
mroffey78,Colgate University,waitlisted
scockeroi,University of Alabama,withdrawn
abesseq,"California State University, Fresno",denied
karnel,Stony Brook University,deferred
hverzeyi7,DePaul University,waitlisted
akeirn,Gettysburg College,withdrawn
bkinnerleyr1,DePaul University,denied
phammersley1w,Stevenson University,withdrawn
hkitchingnm,Hope College,pending
zroelofsenkd,University of Richmond,denied
rcapelle84,Smith College,waitlisted
horumfe,Lawrence Technological University,waitlisted
sgermanij,Transylvania University,pending
mwatmanqz,University of Delaware,waitlisted
noverington8z,Indiana University Bloomington,accepted
chowlerm3,Fordham University,denied
agoldup9r,SUNY College of Environmental Science and Forestry,deferred
mmulberry6m,"California State University, Fresno",accepted
asellmanjt,"University of California, Davis",denied
smccullock3h,Drexel University,denied
aputtrelldw,"California State University, East Bay",pending
jgeelanfq,Central Connecticut State University,accepted
dgladdis3w,University of Delaware,pending
kdyte4t,"California State University, Fresno",withdrawn
gmarcome7r,Drake University,accepted
nboulsherqo,St Bonaventure University,deferred
dhindenbergerq,Barnard College,pending
aglanert4s,University of Utah,pending
aowensony,New Jersey Institute of Technology,withdrawn
smeadusg,Siena College,denied
ptroygq,Franklin & Marshall College,deferred
cbroxholmej1,Barnard College,accepted
rchevolleau43,John Carroll University,withdrawn
dbloxamqp,University of Arkansas,pending
cbaalhamj2,North Park University,pending
mjouannye4,Rider University,pending
seaglesa8,Saint Louis University,withdrawn
slongwoodbg,University of Alabama,withdrawn
onorval96,University of Alabama,pending
hwakeford40,University of Montana,accepted
geady2c,Clarkson University,denied
awaddamsl7,Barnard College,pending
hgoodramlu,Central Connecticut State University,accepted
tgrzelakli,University of Arizona,withdrawn
wtitmuss2w,"University of Nevada, Las Vegas",denied
mgert6h,Texas Christian University,deferred
rboothroyd39,University of Maine,pending
amattkegb,"University of California, Santa Cruz",accepted
dmattevill,Kalamazoo College,accepted
cprescotha,Samford University,deferred
efennerbn,Salve Regina University,waitlisted
drawdalesr8,Gordon College,waitlisted
hwoodwingp5,University of San Diego,deferred
wglynnebs,Centre College,pending
vcovottikp,University of Hartford,pending
gkeggins9g,Siena College,withdrawn
tbruckmanh7,University of Arizona,withdrawn
kstoyellok,Eastern Washington University,denied
pbiscop2,Barnard College,deferred
jfilippozzidv,Mississippi State University,accepted
kbraddick5p,University of Alabama,waitlisted
vdaughtreyph,University of Houston,denied
cbainbriggemo,"University of California, Santa Cruz",accepted
sgudd8o,Saint Louis University,withdrawn
ryeendby,University of Delaware,accepted
rheake53,School of the Art Institute of Chicago,pending
jcharlwoodao,Wagner College,deferred
lmcpike44,"University of California, Santa Cruz",withdrawn
ahuriche4v,Florida Gulf Coast University,waitlisted
rgheerhaertju,University of Kentucky,deferred
kvolkers33,Salve Regina University,accepted
kstainlandnx,Northwestern University,withdrawn
kcorkerch,University of Alabama,withdrawn
rfarryanl6,Utah State University,withdrawn
nwhitneykt,American University,accepted
rbrowell4z,Northwestern University,accepted
dmacalindeng1,University of Richmond,denied
rdriverj0,University of Arkansas,denied
wgiabucci2v,Siena College,pending
bfreddirk,Rider University,denied
kgildeam4,DePaul University,accepted
dgoringj8,Samford University,pending
mtremlettad,Merrimack College,withdrawn
hfavelleoq,Nova Southeastern University,deferred
sratcliffe1b,University of Central Florida,waitlisted
lbagem,Central Connecticut State University,withdrawn
