userid,college,status
wstannasmz,Rochester Institute of Technology,denied
tetherson6s,"California State University, Monterey Bay",pending
cwardhawn0,Hendrix College,pending
drawdalesr8,Williams College,denied
cbunnellf3,New Jersey Institute of Technology,pending
sturley3y,Franklin & Marshall College,denied
ntosspellig,Kennesaw State University,pending
rledinghameg,Temple University,waitlisted
ahadigatejg,Wagner College,accepted
vcasassai8,Nova Southeastern University,denied
amattkegb,Gettysburg College,pending
esmietonlz,Florida Gulf Coast University,pending
acrooksfl,Manhattan College,denied
flummasana3i,Wagner College,waitlisted
srochewellir,Eastern Illinois University,withdrawn
tmurpheyhq,Temple University,pending
lantognellimb,Carnegie Mellon University,pending
gstobbartm5,Stevenson University,waitlisted
mtremlettad,University of San Diego,pending
cfeatherbieks,"University of California, Davis",accepted
pbonasm8,University of Central Florida,denied
llutonjp,Princeton University,deferred
tgrissbu,University of Illinois at Chicago,pending
lcarlesso1g,University of Maine,withdrawn
gtreharnek2,Drake University,accepted
hfraczkiewiczo5,New Jersey Institute of Technology,deferred
dduddyg5,Missouri University of Science and Technology,pending
pweeksho,Lawrence Technological University,waitlisted
norteltgf,Stony Brook University,accepted
rackensonkn,Iona College,deferred
rdrevermy,Providence College,waitlisted
karnel,University of Arizona,deferred
hslaghtga,John Carroll University,deferred
fhanscomeqc,Drake University,accepted
ckorthu,Eastern Illinois University,withdrawn
mcoolingdu,Siena College,denied
aharrismithra,New York University,denied
mknevetpb,University of San Diego,deferred
cblackborough29,University of Massachusetts Amherst,denied
ttanslie7s,"University of California, Davis",pending
gbenyanq6,University of Richmond,denied
ncasterotbe,Temple University,waitlisted
gtaylderej,Samford University,denied
psheptones,Central Connecticut State University,waitlisted
rsheilds56,The College of St Scholastica,deferred
edavydychev92,Stevenson University,accepted
fkeightley8h,Rider University,withdrawn
clewty6d,University of Utah,withdrawn
oroglierih,DePaul University,denied
mdorrancemq,Campbell University,deferred
sgoodlife7,Rider University,waitlisted
ggaler8y,Rice University,deferred
tbartleetkc,"California State University, Fresno",withdrawn
cfeatherbieks,University of Central Florida,pending
ldrableex,American University,deferred
ttanseyd,Mercer University,waitlisted
ireisen4p,Mississippi State University,withdrawn
clembkeqb,Berry College,denied
gireson5d,SUNY College of Environmental Science and Forestry,waitlisted
cgiddy3j,Clarkson University,withdrawn
scockeroi,"University of California, Santa Barbara",withdrawn
jbrixey5,Lawrence Technological University,withdrawn
kstoyellok,Providence College,accepted
cfilpi8m,DePaul University,pending
cfilpi8m,University of Alabama,accepted
mborland7v,Mount Holyoke College,withdrawn
crubinovitchhz,Westmont College,deferred
qrucklidgecl,Rochester Institute of Technology,deferred
uhavikb8,Saint Louis University,denied
eplowelldd,Manhattan College,withdrawn
cprisen4,Iona College,deferred
mplumbca,Lawrence Technological University,pending
loganc8,Kalamazoo College,withdrawn
msharpousee,Temple University,deferred
fpirouet9j,New Jersey Institute of Technology,pending
ltymcg,"University of California, Santa Cruz",waitlisted
mgregg5t,SUNY College of Environmental Science and Forestry,deferred
gpeiroi0,DePaul University,accepted
lmcpike44,Colorado College,deferred
lovittspc,University of Alabama at Birmingham,withdrawn
cmacbane6,University of Maine,pending
wbosketfh,"University of California, Santa Barbara",denied
gmixterqh,SUNY College of Environmental Science and Forestry,pending
lcampor0,Mississippi State University,accepted
thefferank,Franklin & Marshall College,accepted
tmcarthur60,San Diego State University,pending
rarnor7,Mississippi State University,deferred
nraglesa2,Rice University,denied
dhindenbergerq,Idaho State University,waitlisted
atunnicliffehc,DePauw University,pending
ksalliern9,Hope College,withdrawn
rnelane7c,"University of Nevada, Las Vegas",withdrawn
fwalford5r,University of Montana,deferred
hwoodwingp5,Iona College,deferred
lwatmoughf8,Kennesaw State University,pending
imarchington8u,Idaho State University,withdrawn
rmackain1a,Washington & Jefferson College,withdrawn
wgonzaleska,University of Houston,accepted
loganc8,San Diego State University,withdrawn
