userid,college,status
kdaubney3o,Eastern Washington University,denied
fnancarrowp3,The College of St Scholastica,accepted
mdewolfeab,Colorado College,deferred
bpedrielli6n,University of Houston,withdrawn
ryeendby,Clarkson University,waitlisted
leatonaf,School of the Art Institute of Chicago,withdrawn
bpedrielli6n,Illinois College,withdrawn
cdurgan2y,Illinois College,pending
egaskarth9y,Princeton University,deferred
priep19,University of Richmond,pending
spenk2e,University of Richmond,withdrawn
lower9a,Illinois College,denied
smuncaster58,Fordham University,waitlisted
jpalphreymanfo,Franklin & Marshall College,deferred
oroskrug83,Saint Louis University,pending
hivanin8l,Saint Louis University,deferred
bpritchittme,Iona College,deferred
ekelingpa,Transylvania University,waitlisted
dlouther5,University of Arizona,denied
msudlow55,University of Richmond,withdrawn
cmacbane6,University of Illinois at Chicago,waitlisted
pmacilriach5k,New York University,denied
kfullbrooknj,Gordon College,denied
jkarpfr4,Temple University,deferred
esellerkh,Clarkson University,accepted
bzimmeri4,University of Hartford,accepted
tmquhargeht,Transylvania University,denied
pearengeyit,Texas Christian University,accepted
jlarkingsnf,University of San Diego,denied
mnormavilleos,University of Central Florida,waitlisted
jfilippozzidv,School of the Art Institute of Chicago,deferred
dmechemb1,Samford University,denied
dpitceathlygu,Reed College,accepted
lgiddensey,University of Massachusetts Amherst,waitlisted
cguidotti1y,"University of California, Santa Barbara",denied
dmitchleyow,Eastern Washington University,pending
jthainj,University of San Diego,accepted
ckorthu,Carnegie Mellon University,denied
pmace5h,Siena College,pending
ntosspellig,University of Houston,waitlisted
bocheltree36,Northwestern University,denied
bsamwellb7,Kalamazoo College,deferred
gtaylderej,University of Central Florida,withdrawn
jpattenep,Drake University,deferred
abasscf,"California State University, Fresno",denied
zmarchent1d,The College of Wooster,accepted
rambroix7m,University of Arizona,waitlisted
kfloyd4u,Lawrence Technological University,denied
apurkessqe,"University of California, Davis",deferred
adingle57,Drake University,waitlisted
bpritchittme,Smith College,waitlisted
tchastan7o,Kalamazoo College,denied
bkyte8f,Northwestern University,denied
dhindenbergerq,Smith College,pending
gkeggins9g,School of the Art Institute of Chicago,denied
kurienim,University of Richmond,withdrawn
tchastan7o,"California State University, Monterey Bay",deferred
edatono9,Hendrix College,waitlisted
gparelloe,Franklin & Marshall College,waitlisted
tfantiniay,Texas Tech University,accepted
kantognonibr,Stevenson University,deferred
amottershaw7f,Williams College,pending
gpeiroi0,Hendrix College,withdrawn
ltrippiy,University of Montana,denied
mslixbyl5,"California State University, East Bay",pending
kcogginau,Drexel University,deferred
rdrevermy,Rochester Institute of Technology,pending
bfiremanjm,Carnegie Mellon University,waitlisted
akleinlererrh,"University of California, Santa Cruz",denied
vtruran8p,Williams College,denied
mshellard5j,Idaho State University,waitlisted
mborkett6w,Temple University,deferred
emedddm,University of Arizona,deferred
hhillbornef9,Williams College,denied
ebilesd3,Salve Regina University,deferred
mmcgaughayck,Campbell University,denied
emacgorleyhw,Texas Christian University,withdrawn
marrbt,University of Maine,accepted
jdesbrowlb,Kennesaw State University,waitlisted
tkiebes1p,Washington & Jefferson College,waitlisted
emedddm,North Park University,withdrawn
crikkardr3,Suffolk University,denied
sderislya9,Moravian College,deferred
slongwoodbg,Salve Regina University,waitlisted
vashbrookb5,School of the Art Institute of Chicago,waitlisted
mswanjr,North Park University,denied
ldrableex,University of Kentucky,withdrawn
bpinnion5u,Clarkson University,accepted
ryeendby,Clarkson University,pending
lmaidendg,Temple University,withdrawn
ktudgay8v,DePaul University,withdrawn
