userid,college,status
pmacilriach5k,Manhattan College,accepted
smeadusg,Smith College,pending
kphilliskirkrl,University of Montana,pending
lritson4f,"University of Nevada, Reno",withdrawn
jpantonecu,Moravian College,deferred
kkroutmm,"University of California, Santa Cruz",deferred
llindholm4g,Roger Williams University,pending
evellden69,Drexel University,waitlisted
dmattevill,William Jewell College,pending
aioselev7n,University of Illinois at Chicago,deferred
ldrysdellhl,Gordon College,accepted
agillesonm1,Berry College,denied
amittoniv,Drake University,deferred
rlarkworthyo6,Texas Tech University,denied
amccarlot,Salve Regina University,withdrawn
khodgin3e,Wagner College,withdrawn
mlingke,Saint Louis University,waitlisted
khodgin3e,University of Alabama at Birmingham,waitlisted
ccolefordrn,San Diego State University,waitlisted
mtozerdt,Hope College,pending
tserrell18,Saint Louis University,withdrawn
jcharlwoodao,Salve Regina University,pending
bdesimoniba,Rider University,pending
pbiscop2,"University of Nevada, Las Vegas",accepted
lharriskinek1,St Bonaventure University,deferred
lsuttie4w,School of the Art Institute of Chicago,waitlisted
lwatmoughf8,Kalamazoo College,withdrawn
vcasassai8,Hendrix College,waitlisted
asmidmore54,University of Kentucky,pending
tswannie1o,"California State University, Fresno",withdrawn
fdillestonmg,Kalamazoo College,deferred
tlacasepm,Stony Brook University,deferred
atitchmarshdk,"University of California, Santa Barbara",denied
cminihanpi,"University of California, Santa Cruz",waitlisted
zdissr6,Texas Christian University,accepted
smcnamee4k,"California State University, East Bay",withdrawn
lallot3,Rochester Institute of Technology,pending
mwatmanqz,Saint Louis University,accepted
cpardalop,Colorado College,waitlisted
sjiruchre,Illinois College,accepted
kkroutmm,Florida Gulf Coast University,withdrawn
ecooneyhx,Suffolk University,deferred
gmixterqh,University of Central Florida,denied
aspehrq4,University of Kentucky,accepted
doxmw,Illinois College,waitlisted
vjilesqg,Manhattan College,denied
zarstallci,Campbell University,deferred
mkenricka0,Hope College,accepted
dwyard6z,Salve Regina University,withdrawn
cbleier64,"University of Nevada, Las Vegas",pending
tmecchigg,Central Connecticut State University,pending
avanderbaaren3x,Stevenson University,pending
tmecchigg,Central Connecticut State University,accepted
dhaconbq,"California State University, Fresno",withdrawn
kdovydenasqf,Mount Holyoke College,denied
ajaquiss6a,Iona College,withdrawn
ghabble1f,Mississippi State University,pending
mlorneff,"University of California, Santa Barbara",deferred
clembkeqb,Temple University,accepted
rgeater91,Fordham University,pending
gscarffox,DePauw University,denied
wgonzaleska,University of Alabama,accepted
alivettpu,University of Kentucky,withdrawn
rgeater91,Temple University,waitlisted
mtozerdt,Northwestern University,pending
mkenricka0,Lawrence Technological University,withdrawn
uoxfordei,The College of Wooster,waitlisted
uoxfordei,University of Hartford,denied
dduddyg5,Utah State University,deferred
fsachnoiw,Eastern Washington University,waitlisted
mvint7y,University of Central Florida,denied
asapir7a,University of Delaware,accepted
gmarcome7r,San Diego State University,denied
nlendremob,Fordham University,waitlisted
mcaudelierdl,Missouri University of Science and Technology,pending
lwaterstonefj,The College of Wooster,waitlisted
emedddm,Lawrence Technological University,accepted
smccullock3h,Berry College,deferred
nwhitneykt,Gordon College,withdrawn
eriselycb,Eastern Illinois University,accepted
rbyrehi,Samford University,waitlisted
efennerbn,Hope College,pending
jlarkingsnf,Franklin & Marshall College,pending
pbuckbee1k,University of Arizona,waitlisted
grigtsc1,John Carroll University,withdrawn
ltymcg,William Jewell College,pending
hfraczkiewiczo5,The College of St Scholastica,withdrawn
eaviss2p,American University,waitlisted
atitchmarshdk,Utah State University,deferred
tjeaffresonmc,Saint Louis University,withdrawn
scasalettoal,The College of Wooster,deferred
jchoatrm,Drake University,denied
bamayaeb,Colorado College,pending
apaskinsro,University of Hartford,waitlisted
mreadwinglh,DePauw University,withdrawn
tgrissbu,Northwestern University,withdrawn
cbleier64,The College of Wooster,deferred
arembrandtnd,Missouri University of Science and Technology,accepted
ahamflett9u,"University of California, Santa Cruz",waitlisted
atetherf5,Saint Louis University,accepted
rclericoates2r,Vassar College,withdrawn
ogillamoa,Iona College,denied
kaveriesai,Iona College,accepted
bfreddirk,University of Kentucky,pending
cdrinankk,Berry College,accepted
istenner1s,Stony Brook University,denied
lsutherelt,Drake University,withdrawn
ccrucesfs,Kennesaw State University,withdrawn
agrzeszczykfw,Mississippi State University,pending
rbrucen5,Mississippi State University,waitlisted
diczokvitzdy,Rice University,pending
cmalans,Manhattan College,waitlisted
ttoppes37,"University of California, Davis",pending
rhamlyg9,Providence College,withdrawn
adesportkm,Barnard College,accepted
ldraceyav,University of Utah,pending
mborland7v,Westmont College,waitlisted
oroskrug83,Indiana University Bloomington,accepted
cpierson4q,Gannon University,pending
nbasdenez,Idaho State University,deferred
lantonowiczrb,"University of Nevada, Reno",denied
gstobbartm5,Wagner College,deferred
rarnor7,Princeton University,waitlisted
cschutte6f,Clarkson University,accepted
sscolefc,University of Central Florida,denied
gcookesja,American University,pending
diczokvitzdy,Fordham University,deferred
hedes1j,Illinois College,denied
tbarsama1,Texas Tech University,denied
lwaterstonefj,"University of California, Santa Barbara",withdrawn
adepinnahb,Drake University,withdrawn
mborkett6w,University of Central Florida,waitlisted
gcorbin8t,Washington & Jefferson College,deferred
etrunbyf,University of Houston,accepted
fyushkinol,"California State University, East Bay",deferred
charbinis,Mississippi State University,deferred
clewty6d,"University of California, Santa Barbara",waitlisted
rackensonkn,"University of California, Santa Barbara",denied
emacgorleyhw,Merrimack College,accepted
cwardhawn0,Merrimack College,waitlisted
jcluelowft,North Park University,pending
mgregg5t,Mount Holyoke College,waitlisted
jfilippozzidv,Barnard College,deferred
ldracksfordlg,School of the Art Institute of Chicago,pending
rbrucen5,San Diego State University,accepted
mnucator2x,Lawrence Technological University,accepted
dyessonfr,Illinois College,waitlisted
drawdalesr8,Wagner College,waitlisted
ccreminge,Mercer University,deferred
tsandcrafti9,Smith College,withdrawn
bsextins,DePauw University,denied
dgebuhreu,Suffolk University,withdrawn
cgiddy3j,San Diego State University,withdrawn
cisaacsondc,Indiana University Bloomington,denied
dyessonfr,SUNY College of Environmental Science and Forestry,deferred
tdarthe50,University of Arizona,pending
xbrum3g,Suffolk University,pending
lallot3,Illinois College,withdrawn
ejosephsenpg,Northwestern University,denied
cthelwllj3,Carnegie Mellon University,accepted
ereed9f,DePauw University,waitlisted
snys9c,Drake University,pending
mroseborougho4,"California State University, Monterey Bay",pending
estorer6j,University of Illinois at Chicago,pending
tmcarthur60,Eastern Illinois University,denied
kphilliskirkrl,Nova Southeastern University,denied
jpantonecu,Samford University,denied
hleggesnt,University of Utah,denied
pbonasm8,Stevenson University,pending
bcosleybo,Rochester Institute of Technology,denied
emedddm,Rider University,pending
sputtenq9,Siena College,accepted
hraschcw,Merrimack College,denied
cisaacsondc,Centre College,deferred
fgateleyc9,San Diego State University,pending
kkinavana4,North Park University,denied
mtubblenk,University of Montana,deferred
nsempillml,Berry College,deferred
menrigoe8,Campbell University,denied
mderuelom,Roger Williams University,pending
agoldsec,University of Montana,pending
tfeltennp,Missouri University of Science and Technology,denied
ohrinchishine6,Moravian College,pending
lstandidgeem,Drake University,pending
lvogel4y,Drake University,withdrawn
cdinwoodiee3,University of Montana,withdrawn
bzimmeri4,Manhattan College,waitlisted
dfaulconbridge75,School of the Art Institute of Chicago,waitlisted
jgeelanfq,Texas Tech University,accepted
asantelloiq,Mercer University,denied
adingle57,University of Arizona,deferred
grigtsc1,Illinois College,denied
msherbourne10,Suffolk University,accepted
lmathesonbw,New Jersey Institute of Technology,withdrawn
csitlintonlt,Nova Southeastern University,deferred
tgonsaloif,School of the Art Institute of Chicago,deferred
wgiabucci2v,Clarkson University,accepted
rfenbyg6,Siena College,accepted
pjester,Drake University,waitlisted
nspleving8b,New York University,deferred
gralton9,Missouri University of Science and Technology,accepted
jandreacciohs,Franklin & Marshall College,denied
gdaglishpo,New York University,accepted
jbrixey5,Berry College,withdrawn
uoxfordei,Illinois College,accepted
qrucklidgecl,Florida Gulf Coast University,denied
egonthardjx,Drexel University,deferred
lcampor0,The College of Wooster,pending
gseedsb0,Williams College,withdrawn
aheggielf,Hope College,waitlisted
amattkegb,University of Illinois at Chicago,waitlisted
mreadwinglh,Carnegie Mellon University,withdrawn
vjilesqg,Colgate University,waitlisted
nhawtinln,St Bonaventure University,accepted
jlarkingsnf,American University,deferred
rhandscombedj,University of Arkansas,accepted
ryeendby,Mercer University,deferred
rlangrishg3,University of Alabama at Birmingham,accepted
amattkegb,Kennesaw State University,deferred
rgreatexoj,University of Massachusetts Amherst,waitlisted
fnancarrowp3,"University of Nevada, Las Vegas",withdrawn
gmundowl9,Colorado College,waitlisted
fkeightley8h,Colgate University,withdrawn
ciashviliky,Missouri University of Science and Technology,pending
vtruran8p,Temple University,deferred
gfigliovannil3,Indiana University Bloomington,denied
cbrigdalegt,Vassar College,accepted
cgoaksoh,University of Alabama at Birmingham,waitlisted
wfoort8e,Mercer University,denied
tstiggles26,Berry College,denied
rmabbf7,Wagner College,waitlisted
npricketto0,The College of Wooster,withdrawn
jtippettsi,University of Alabama,pending
awaddamsl7,Indiana University Bloomington,denied
kpetrichatlw,Salve Regina University,deferred
pbonasm8,North Park University,accepted
lritson4f,Rice University,waitlisted
fbellochc3,University of Alabama at Birmingham,waitlisted
pcochhf,American University,pending
jchoatrm,Colorado College,denied
fyushkinol,Williams College,accepted
bfreddirk,Moravian College,withdrawn
jkoeppke6g,Gannon University,waitlisted
bseppeyg8,Clarkson University,denied
nivanyushkinnr,Vassar College,withdrawn
asmidmore54,University of Maine,deferred
sscolefc,Centre College,accepted
gmulvihillhr,Merrimack College,accepted
gbrocktonid,Drake University,withdrawn
avanderbaaren3x,American University,accepted
rtrytsmando,New York University,withdrawn
