userid,college,status
beplategj,Colgate University,denied
mhammerberger2,New Jersey Institute of Technology,pending
dyessonfr,Indiana University Bloomington,pending
bseppeyg8,Illinois College,denied
seaggerjn,University of Massachusetts Amherst,waitlisted
jkoeppke6g,Roger Williams University,pending
rstablespr,University of Alabama,waitlisted
cmosconkq,Vassar College,denied
caymeri3,Mount Holyoke College,deferred
atottieq7,University of Massachusetts Amherst,denied
slabastida1,University of Houston,waitlisted
mmonaghan8,Fordham University,waitlisted
sduffreea6,University of Illinois at Chicago,accepted
mcaudelierdl,Siena College,deferred
mspringthorp74,Roger Williams University,accepted
edavydychev92,Lawrence Technological University,accepted
slongwoodbg,Missouri University of Science and Technology,deferred
lgiddensey,Hope College,deferred
tgaroghanon,New Jersey Institute of Technology,waitlisted
lwatmoughf8,San Diego State University,withdrawn
ageipel17,"California State University, East Bay",denied
bcosleybo,School of the Art Institute of Chicago,pending
rlarkworthyo6,The College of Wooster,withdrawn
ekelingpa,Suffolk University,deferred
lenzley31,New York University,accepted
grhydderchjc,University of Central Florida,waitlisted
abesseq,Utah State University,accepted
bverlingf2,North Park University,deferred
fstokermf,University of Illinois at Chicago,accepted
scockeroi,Indiana University Bloomington,deferred
fwalford5r,American University,pending
lbagem,"California State University, Fresno",waitlisted
colenikov8k,Moravian College,deferred
omallatratt7d,Clarkson University,withdrawn
cbulleyfd,Gordon College,accepted
mswanjr,Eastern Illinois University,denied
gmarcome7r,Carnegie Mellon University,waitlisted
kstorey99,Colorado College,waitlisted
blevet8j,Berry College,denied
fpllucc,Texas Christian University,denied
dmattevill,School of the Art Institute of Chicago,pending
lmathesonbw,Suffolk University,pending
noverington8z,Siena College,pending
iosbornep,Salve Regina University,withdrawn
ncervantespv,Reed College,withdrawn
llahertyd6,Illinois College,accepted
omallatratt7d,Central Connecticut State University,accepted
pagiolfingerhp,Providence College,denied
cgodlipnz,New Jersey Institute of Technology,waitlisted
mgolthorppc,University of Arizona,withdrawn
ktrineman9q,University of Arizona,withdrawn
bscrivener5w,"California State University, East Bay",denied
hclowsleyqs,San Diego State University,accepted
jkoeppke6g,University of Kentucky,pending
ncasterotbe,Stony Brook University,pending
mroseborougho4,Rochester Institute of Technology,pending
pbuckbee1k,University of Arizona,accepted
ttanslie7s,Lawrence Technological University,accepted
fdulinty4e,Drexel University,deferred
ttoppes37,"University of Nevada, Reno",accepted
jcolquyte49,"University of California, Santa Cruz",deferred
pduns5y,School of the Art Institute of Chicago,pending
tsandcrafti9,Kalamazoo College,withdrawn
pcochhf,Gettysburg College,deferred
egirardey9k,Moravian College,accepted
alukesch87,Lawrence Technological University,deferred
jcheavinlo,University of Alabama,waitlisted
scockeroi,University of Massachusetts Amherst,deferred
cbellinooo,Siena College,pending
hsneppbx,"California State University, Fresno",deferred
kprickett6t,Drexel University,pending
jdavleygi,Clarkson University,accepted
evellden69,School of the Art Institute of Chicago,pending
tbengalx,Hendrix College,withdrawn
spenk2e,Nova Southeastern University,deferred
smuncaster58,University of Illinois at Chicago,pending
tbartleetkc,Missouri University of Science and Technology,pending
msudlow55,Hendrix College,waitlisted
rtolhurst3q,William Jewell College,deferred
gavesq8,Nova Southeastern University,withdrawn
cthelwllj3,The College of Wooster,deferred
bamayaeb,Northwestern University,denied
jpantonecu,Texas Tech University,pending
bclandillon9s,Central Connecticut State University,pending
oroskrug83,William Jewell College,deferred
zroelofsenkd,Texas Christian University,waitlisted
imarchington8u,University of Delaware,withdrawn
dmattevill,"California State University, Monterey Bay",accepted
jchoatrm,Northwestern University,deferred
ltolworthie7w,North Park University,accepted
afranktonb3,University of Alabama,withdrawn
awoodalld0,Gettysburg College,accepted
smarriagedx,Roger Williams University,pending
jtippettsi,Mount Holyoke College,denied
awaddamsl7,New Jersey Institute of Technology,denied
lfoadgs,New York University,denied
srankling6i,Eastern Illinois University,waitlisted
nraglesa2,Mount Holyoke College,deferred
jlurnerj5,Colgate University,deferred
garrellqi,Colorado College,pending
gdundendale32,University of Houston,denied
cdinwoodiee3,Drake University,accepted
btredgolda3,Fordham University,waitlisted
nelstuba,Barnard College,waitlisted
nraglesa2,William Jewell College,denied
tampsrr,Carnegie Mellon University,denied
jjacobovitchq0,William Jewell College,pending
hverzeyi7,Salve Regina University,withdrawn
rclemmey46,Saint Louis University,denied
kglanz6u,Texas Tech University,waitlisted
jbradmoreqn,Iona College,denied
egaskarth9y,Hendrix College,accepted
pearengeyit,Idaho State University,denied
sjiruchre,Stevenson University,deferred
kantognonibr,University of Houston,accepted
emaccookk0,Saint Louis University,withdrawn
grubinowitsch9t,Illinois College,waitlisted
kstainlandnx,University of Central Florida,denied
fhordle30,Kalamazoo College,withdrawn
slongwoodbg,"California State University, East Bay",withdrawn
mspringthorp74,Mississippi State University,denied
smuncaster58,Central Connecticut State University,deferred
tattwaterqq,Hope College,deferred
fyushkinol,"University of Nevada, Reno",accepted
zmarchent1d,Missouri University of Science and Technology,withdrawn
asmidmore54,Franklin & Marshall College,waitlisted
lvogel4y,University of Kentucky,deferred
rgeater91,DePauw University,accepted
norteltgf,Gannon University,denied
fprobettsac,Kennesaw State University,denied
wscoughq1,Siena College,pending
alauder45,University of Illinois at Chicago,waitlisted
gkeggins9g,Temple University,pending
lritson4f,Rider University,deferred
ageffcock2t,Indiana University Bloomington,denied
gralton9,Westmont College,deferred
jpaschokw,Rider University,denied
cbeernt9h,The College of St Scholastica,deferred
gcookesja,New Jersey Institute of Technology,pending
dhugkmi,University of Central Florida,denied
sgudd8o,Nova Southeastern University,deferred
tkleiser6p,Central Connecticut State University,deferred
grhydderchjc,Drexel University,pending
ecooneyhx,New York University,waitlisted
bshowers4,Northwestern University,accepted
rbyrehi,Gordon College,pending
msweedlandd7,Washington & Jefferson College,pending
nbasdenez,Hope College,waitlisted
aheggielf,Siena College,accepted
vcasassai8,University of Kentucky,pending
rcalvieh8,Mississippi State University,deferred
piveagh3m,Mercer University,denied
dgebuhreu,Centre College,waitlisted
pautonh3,San Diego State University,deferred
aglanert4s,DePauw University,waitlisted
dpitceathlygu,Princeton University,accepted
