userid,college,status
cseaversia,Williams College,withdrawn
rdriverj0,Carnegie Mellon University,waitlisted
lblanningpd,Campbell University,denied
aheggielf,Samford University,accepted
cisaacsondc,John Carroll University,withdrawn
cneesonki,University of Central Florida,deferred
dshrawley72,Mississippi State University,accepted
kfreakj4,John Carroll University,deferred
gcogarpj,The College of Wooster,withdrawn
hfayerbrotherrg,St Bonaventure University,denied
jbrixey5,Providence College,waitlisted
cfilpi8m,North Park University,waitlisted
kredhollsb2,San Diego State University,withdrawn
kbeards6x,School of the Art Institute of Chicago,denied
imarchington8u,Hope College,accepted
snorthcoted5,Siena College,denied
egaskarth9y,Temple University,withdrawn
mnormavilleos,Mississippi State University,withdrawn
kbrissard7j,Fordham University,deferred
cbaalhamj2,Merrimack College,deferred
ntosspellig,SUNY College of Environmental Science and Forestry,denied
aheggielf,The College of St Scholastica,denied
lstandidgeem,Drake University,denied
klassells8s,Saint Louis University,withdrawn
anittom9,Kennesaw State University,denied
bgrayerjj,Samford University,withdrawn
efennerbn,Indiana University Bloomington,withdrawn
gdundendale32,Drake University,pending
asantelloiq,Samford University,withdrawn
kjaquestu,Manhattan College,withdrawn
estorer6j,Drake University,withdrawn
csenettdn,University of Delaware,deferred
llindholm4g,University of Utah,denied
nivanyushkinnr,University of Illinois at Chicago,accepted
ebilesd3,"University of California, Santa Barbara",withdrawn
sjiruchre,Merrimack College,denied
grhydderchjc,"California State University, Monterey Bay",accepted
btarpeyqu,Drake University,denied
clewty6d,Salve Regina University,accepted
tstiggles26,Hope College,denied
mdyetip,Suffolk University,accepted
rtrytsmando,"California State University, East Bay",pending
kgildeam4,St Bonaventure University,accepted
jkoeppke6g,School of the Art Institute of Chicago,withdrawn
lwatmoughf8,University of Delaware,deferred
nelstuba,University of Massachusetts Amherst,denied
hraschcw,"University of Nevada, Reno",withdrawn
dgirkin52,Drexel University,accepted
tkummerlowepw,Stony Brook University,withdrawn
mduvalqv,Florida Gulf Coast University,pending
rtoffanellini,Clarkson University,waitlisted
gcogarpj,University of Delaware,waitlisted
hsneppbx,Franklin & Marshall College,waitlisted
mplumbca,Providence College,denied
pchevolleau5m,University of Richmond,deferred
sgoodlife7,St Bonaventure University,withdrawn
hhamleni1,Drexel University,accepted
smccuddennh,Mississippi State University,deferred
jreadbl,University of Montana,pending
bdresserk3,Washington & Jefferson College,deferred
jalessandrinias,Hendrix College,withdrawn
mkrebso2,Indiana University Bloomington,pending
rcalvieh8,University of Houston,accepted
sscolefc,Siena College,pending
vheigl3b,Westmont College,waitlisted
dfollet51,Lawrence Technological University,pending
obatesonjk,"California State University, East Bay",withdrawn
fbellochc3,Gettysburg College,pending
wmetzing42,Princeton University,accepted
kkinavana4,University of Alabama at Birmingham,deferred
jkarpfr4,University of Alabama,denied
leatonaf,Westmont College,withdrawn
ftrott27,University of Hartford,accepted
nelstuba,Saint Louis University,withdrawn
gavesq8,University of Houston,denied
elaurentygk,Providence College,waitlisted
ksimonettoaw,Gettysburg College,accepted
sstatter7k,Colgate University,waitlisted
nmish7p,University of Alabama at Birmingham,denied
khodgin3e,University of Maine,denied
cleblond7i,Merrimack College,waitlisted
dshrawley72,Samford University,denied
cfilpi8m,Williams College,denied
gshambroke38,Massachusetts Institute of Technology,pending
tbenezek7,Princeton University,withdrawn
ckorthu,University of Hartford,waitlisted
jrotham7b,Providence College,deferred
mborkett6w,Texas Christian University,waitlisted
kgianettinipt,Florida Gulf Coast University,accepted
bshowers4,"University of California, Santa Barbara",pending
rdriverj0,University of Hartford,deferred
tgaroghanon,Stony Brook University,withdrawn
sstaner3c,University of Arizona,withdrawn
seaglesa8,Kennesaw State University,pending
mwatmanqz,Westmont College,waitlisted
mmulberry6m,Rice University,denied
cwythillg2,Central Connecticut State University,deferred
grhydderchjc,Barnard College,accepted
cbainbriggemo,Rider University,waitlisted
jbernakiewiczcs,University of Illinois at Chicago,pending
mgregg5t,Stevenson University,accepted
glunamfk,Moravian College,waitlisted
cprisen4,Princeton University,withdrawn
mgresswellat,Westmont College,waitlisted
apaskinsro,St Bonaventure University,accepted
rdriverj0,University of Alabama,pending
rambroix7m,Colorado College,pending
lblanningpd,University of Maine,waitlisted
sbegwellnl,Florida Gulf Coast University,denied
tkiebes1p,Centre College,waitlisted
hcorbetfn,New York University,denied
pagiolfingerhp,University of Delaware,pending
padin65,"University of Nevada, Las Vegas",pending
cbeernt9h,"California State University, Fresno",withdrawn
nwhitneykt,"California State University, East Bay",pending
jlurnerj5,New Jersey Institute of Technology,withdrawn
cwythillg2,Merrimack College,accepted
tattwaterqq,Williams College,waitlisted
lvogel4y,Mercer University,waitlisted
gstraker6o,William Jewell College,pending
rledinghameg,University of Kentucky,accepted
lsutherelt,Siena College,waitlisted
pmace5h,University of San Diego,deferred
apachecojl,Lawrence Technological University,withdrawn
gmatevosianqy,Central Connecticut State University,pending
soreaganku,Northwestern University,waitlisted
bdresserk3,Rochester Institute of Technology,waitlisted
sneediu,University of Arizona,denied
dfollet51,Illinois College,denied
eriselycb,Lawrence Technological University,pending
grigtsc1,Idaho State University,withdrawn
tattwaterqq,Rochester Institute of Technology,accepted
kpetraitisko,University of San Diego,accepted
glunamfk,University of Illinois at Chicago,waitlisted
slanfranchi1n,University of San Diego,pending
nspleving8b,University of Arizona,waitlisted
rromaintog,Iona College,withdrawn
mtubblenk,Colorado College,withdrawn
eclynmanov,Texas Christian University,pending
rtowsdi,DePauw University,denied
llutonjp,Wagner College,accepted
gtreharnek2,University of Maine,denied
pgotch3v,Rider University,pending
ptroygq,"University of California, Santa Cruz",withdrawn
kseagrove9x,Northwestern University,denied
hwortmanno,Salve Regina University,withdrawn
msherbourne10,Suffolk University,deferred
mschechter6b,San Diego State University,withdrawn
mcaudelierdl,Stony Brook University,accepted
ralennikov2j,"California State University, Monterey Bay",denied
mriddalldf,Indiana University Bloomington,pending
ohrinchishine6,Northwestern University,waitlisted
lfilipponeaz,Campbell University,accepted
oskoyleshk,Utah State University,waitlisted
graith3p,"California State University, East Bay",waitlisted
cdinwoodiee3,University of Alabama,waitlisted
abasscf,Wagner College,accepted
lwaterstonefj,Northwestern University,deferred
tbruckmanh7,Franklin & Marshall College,denied
asmidmore54,Stevenson University,deferred
rnelane7c,University of Central Florida,accepted
slabonqa,San Diego State University,denied
rromaintog,Williams College,withdrawn
jkarpfr4,Eastern Illinois University,accepted
mtubblenk,Rider University,waitlisted
bofahertyo7,Centre College,denied
dgladdis3w,School of the Art Institute of Chicago,accepted
wbierton1t,Eastern Washington University,deferred
cgernerny,University of Hartford,waitlisted
alivettpu,Providence College,denied
eclynmanov,Nova Southeastern University,pending
gtreharnek2,Salve Regina University,denied
bverlingf2,Samford University,waitlisted
jalessandrinias,University of Richmond,deferred
bshowers4,University of Illinois at Chicago,waitlisted
gsidebothamcp,Samford University,accepted
cbellinooo,Gettysburg College,denied
lbagem,Wagner College,withdrawn
bbute3u,Mississippi State University,deferred
lower9a,Mississippi State University,denied
ltolworthie7w,Williams College,denied
pgotch3v,Merrimack College,deferred
akitleek8,Centre College,waitlisted
lsutherelt,American University,pending
cpierson4q,DePauw University,waitlisted
sdeenyin,Central Connecticut State University,pending
kredhollsb2,Centre College,waitlisted
tmecchigg,Gettysburg College,waitlisted
jdurram61,University of Alabama,waitlisted
khodgin3e,Mercer University,accepted
wgonzaleska,Vassar College,waitlisted
cprescotha,Clarkson University,pending
jandreacciohs,University of Central Florida,waitlisted
nmish7p,University of Richmond,deferred
eantwisrf,Gordon College,denied
afader95,Saint Louis University,withdrawn
gscarffox,Carnegie Mellon University,denied
msherbourne10,Nova Southeastern University,withdrawn
tornilsls,Roger Williams University,denied
gbuttlerf0,Reed College,denied
jgeelanfq,Smith College,pending
rmabbf7,"University of California, Santa Cruz",deferred
sstaner3c,Idaho State University,pending
agoldup9r,Salve Regina University,deferred
cloffill7z,"University of California, Davis",waitlisted
lstandidgeem,University of Houston,accepted
ltolworthie7w,University of Arizona,denied
loreilly2m,Vassar College,denied
rcoshamk6,Rice University,denied
vmilillori,Mississippi State University,waitlisted
flomiscz,Berry College,pending
bbute3u,William Jewell College,pending
dduffreekr,Salve Regina University,accepted
hbrittonerbv,Merrimack College,accepted
soleahy8q,University of Arizona,denied
ralennikov2j,Colorado College,accepted
jtayloems,Carnegie Mellon University,accepted
acutressix,Clarkson University,waitlisted
bsabate66,Mount Holyoke College,accepted
fsachnoiw,Princeton University,deferred
rledinghameg,Carnegie Mellon University,withdrawn
pmace5h,Williams College,accepted
chowlerm3,Westmont College,withdrawn
gireson5d,Hope College,accepted
dyessonfr,Fordham University,denied
ahadigatejg,Mercer University,waitlisted
rpoldingeh,New York University,accepted
agillesonm1,University of Illinois at Chicago,deferred
tetherson6s,New York University,withdrawn
kcorkerch,Vassar College,withdrawn
alivettpu,School of the Art Institute of Chicago,withdrawn
cfewp4,Lawrence Technological University,waitlisted
mdyetip,DePaul University,withdrawn
mdyetip,Nova Southeastern University,denied
apicardam,"University of Nevada, Las Vegas",withdrawn
tmquhargeht,Manhattan College,withdrawn
eolensby4a,New Jersey Institute of Technology,waitlisted
phayzerfa,San Diego State University,denied
blevet8j,"California State University, East Bay",withdrawn
acornew1h,John Carroll University,withdrawn
wchamah,Gettysburg College,accepted
ntosspellig,American University,denied
