userid,college,status
dyessonfr,Colorado College,withdrawn
aspitaronu,University of Montana,deferred
amattkegb,Rider University,withdrawn
onorval96,SUNY College of Environmental Science and Forestry,waitlisted
nkelloway9d,Missouri University of Science and Technology,denied
jbaggedq,University of Massachusetts Amherst,accepted
afilippovn6,Suffolk University,pending
cbulleyfd,Rider University,waitlisted
jdaymentgn,St Bonaventure University,accepted
smccuddennh,University of Massachusetts Amherst,accepted
slabastida1,Barnard College,accepted
ctynewellmt,University of San Diego,withdrawn
mschechter6b,University of San Diego,deferred
rgreatexoj,Westmont College,accepted
fbellochc3,Roger Williams University,denied
lpretswelldz,University of Alabama,pending
tnewcomelp,Rochester Institute of Technology,withdrawn
cbruna90,"University of California, Santa Barbara",accepted
zroelofsenkd,Nova Southeastern University,withdrawn
ireisen4p,Texas Christian University,accepted
tkummerlowepw,Hendrix College,accepted
tswannie1o,Franklin & Marshall College,waitlisted
rtrytsmando,New York University,pending
ryeendby,The College of St Scholastica,denied
iankerii,Stevenson University,pending
avanderbaaren3x,Vassar College,deferred
astorrockbc,Saint Louis University,deferred
cdurgan2y,Washington & Jefferson College,waitlisted
rannellct,New Jersey Institute of Technology,withdrawn
lantonowiczrb,Hendrix College,withdrawn
cmalans,Mount Holyoke College,waitlisted
akeirn,Eastern Washington University,withdrawn
jlurnerj5,Centre College,pending
gsavegehv,Eastern Washington University,pending
rdriverj0,Vassar College,denied
grhydderchjc,Florida Gulf Coast University,waitlisted
jboddyld,University of Kentucky,waitlisted
jpattenep,Berry College,pending
cbainbriggemo,"University of Nevada, Las Vegas",denied
gmogenotoz,Central Connecticut State University,accepted
collett4m,Williams College,waitlisted
chowcroft8d,Vassar College,deferred
gledingtonhy,Carnegie Mellon University,withdrawn
wstannasmz,The College of St Scholastica,withdrawn
cgoaksoh,Drexel University,denied
vcasassai8,San Diego State University,waitlisted
kstorey99,Samford University,pending
bsibbeg7,Fordham University,accepted
fpirouet9j,Colorado College,deferred
afader95,Colgate University,accepted
pbonasm8,Roger Williams University,accepted
jgeelanfq,Merrimack College,withdrawn
vmilillori,Massachusetts Institute of Technology,pending
cdurgan2y,Iona College,waitlisted
rclemmey46,Central Connecticut State University,denied
tsandcrafti9,DePaul University,withdrawn
kharlockmp,Salve Regina University,accepted
hverzeyi7,Idaho State University,deferred
nbasdenez,University of Central Florida,denied
jstocks1c,University of Arizona,accepted
bfairbournbm,University of Maine,withdrawn
jthainj,Indiana University Bloomington,accepted
cjermyc0,Transylvania University,waitlisted
