userid,college,status
cneesonki,Salve Regina University,waitlisted
amittoniv,Hendrix College,deferred
kgildeam4,Iona College,pending
fbellochc3,Princeton University,accepted
fwalford5r,St Bonaventure University,deferred
olabdon2k,"University of California, Davis",waitlisted
ciashviliky,University of Delaware,accepted
gsillsd9,University of Montana,withdrawn
npricketto0,John Carroll University,denied
dstuddqr,Westmont College,denied
mmulberry6m,Hope College,accepted
jcursons41,University of Kentucky,denied
awilprecht3d,Massachusetts Institute of Technology,deferred
wtitmuss2w,"University of California, Davis",withdrawn
bshowers4,Hendrix College,accepted
ajaquiss6a,Kennesaw State University,denied
gireson5d,"University of California, Davis",withdrawn
rbernadebh,Saint Louis University,waitlisted
iwaytew,Illinois College,withdrawn
pbuckbee1k,Gettysburg College,accepted
ttanslie7s,Samford University,withdrawn
bpedrielli6n,"California State University, Monterey Bay",waitlisted
mticksallar,Centre College,withdrawn
jrotham7b,University of Illinois at Chicago,waitlisted
phayzerfa,"California State University, Fresno",denied
hpattesall2i,Reed College,pending
fschiementzrc,University of Utah,withdrawn
sturley3y,University of Massachusetts Amherst,withdrawn
rheake53,The College of St Scholastica,withdrawn
rledinghameg,Suffolk University,waitlisted
bbute3u,Stony Brook University,waitlisted
jromeo6y,Florida Gulf Coast University,denied
kpetraitisko,Temple University,pending
hivanin8l,Smith College,accepted
cbroxholmej1,The College of Wooster,pending
aheggielf,"California State University, East Bay",withdrawn
rtoffanellini,Central Connecticut State University,pending
pbardillfu,Texas Tech University,pending
cbeernt9h,University of Alabama at Birmingham,pending
bfiremanjm,University of Alabama at Birmingham,denied
graith3p,Fordham University,deferred
prooze11,Gordon College,deferred
loganc8,Transylvania University,pending
wbosketfh,Massachusetts Institute of Technology,withdrawn
smcgoldrick81,Texas Tech University,accepted
mriddalldf,University of Arizona,accepted
estorer6j,Williams College,deferred
gseedsb0,New York University,waitlisted
vheigl3b,New York University,withdrawn
tmeadwayd8,University of Alabama,withdrawn
mriddalldf,Centre College,withdrawn
wmetzing42,Florida Gulf Coast University,withdrawn
uoxfordei,Stony Brook University,waitlisted
adepinnahb,Utah State University,denied
jbrixey5,DePaul University,pending
mhammerberger2,University of Maine,denied
jkarpfr4,University of Houston,deferred
wbosketfh,"University of California, Santa Barbara",pending
acarpenter8n,DePaul University,withdrawn
fingley5x,Nova Southeastern University,denied
gfrottonih,Colgate University,waitlisted
lantognellimb,Northwestern University,waitlisted
phammersley1w,School of the Art Institute of Chicago,pending
mtremlettad,Drake University,accepted
bjanssonn1,School of the Art Institute of Chicago,withdrawn
amorsonmr,"California State University, East Bay",accepted
mderuelom,Texas Christian University,denied
jalessandrinias,University of Montana,waitlisted
graith3p,Manhattan College,pending
rromaintog,University of Montana,withdrawn
blevet8j,Roger Williams University,denied
egonthardjx,North Park University,accepted
gdanaharh4,Rice University,waitlisted
bpedrielli6n,Mississippi State University,waitlisted
csonghurstds,Siena College,waitlisted
amattkegb,Texas Tech University,deferred
igeockleqw,Temple University,accepted
bfairbournbm,Princeton University,waitlisted
eivanikov2q,University of Arkansas,withdrawn
wgiabucci2v,"University of California, Santa Barbara",accepted
nraglesa2,Iona College,deferred
jlurnerj5,Mercer University,waitlisted
jdesbrowlb,Rochester Institute of Technology,withdrawn
wchamah,Idaho State University,withdrawn
ctynewellmt,"California State University, East Bay",denied
isneesbyor,University of Arizona,accepted
sstaner3c,Stevenson University,withdrawn
llossman4o,Barnard College,pending
lallot3,Colgate University,denied
tmarrablee,Gannon University,withdrawn
fdulinty4e,The College of Wooster,denied
gsillsd9,Mississippi State University,deferred
chowlerm3,Rider University,waitlisted
rromaintog,Eastern Illinois University,deferred
eantwisrf,Gordon College,withdrawn
hbrittonerbv,University of Hartford,denied
sbanaszczyk2h,"California State University, Monterey Bay",pending
fibberson79,Utah State University,waitlisted
seaggerjn,Williams College,pending
imarquotfp,University of Utah,withdrawn
llindholm4g,Missouri University of Science and Technology,pending
amattkegb,University of Central Florida,withdrawn
tscala1v,Iona College,denied
kurienim,University of Massachusetts Amherst,deferred
zlattinqd,University of Arizona,accepted
egonthardjx,Smith College,withdrawn
bkyte8f,Texas Tech University,waitlisted
lbagem,Temple University,pending
rfarryanl6,Siena College,deferred
gmedewaylx,The College of St Scholastica,accepted
efennerbn,Stevenson University,waitlisted
bofahertyo7,New Jersey Institute of Technology,accepted
pautonh3,Samford University,deferred
ccroyserio,University of Delaware,denied
ffrance86,Iona College,waitlisted
lbachmanp8,Nova Southeastern University,denied
fyushkinol,Idaho State University,accepted
bsibbeg7,The College of Wooster,withdrawn
bgoschalkhn,The College of Wooster,pending
arembrandtnd,Rochester Institute of Technology,withdrawn
stoffts7q,Eastern Illinois University,pending
jfilippozzidv,Stony Brook University,deferred
bzimmeri4,Gettysburg College,deferred
dmechemb1,North Park University,deferred
aputtrelldw,Lawrence Technological University,accepted
lwatmoughf8,Illinois College,withdrawn
bofahertyo7,Lawrence Technological University,denied
bfranchyonok1i,DePaul University,denied
ireisen4p,Smith College,waitlisted
kcookleygp,Washington & Jefferson College,accepted
cbruinemanoy,Reed College,accepted
kfreakj4,"University of California, Santa Barbara",denied
cbleier64,School of the Art Institute of Chicago,withdrawn
mnormavilleos,Gannon University,denied
gdundendale32,DePaul University,accepted
ecooneyhx,Mississippi State University,deferred
padin65,Centre College,pending
tbruckmanh7,Eastern Illinois University,pending
kgianettinipt,University of San Diego,denied
aioselev7n,Illinois College,deferred
pcochhf,University of Illinois at Chicago,withdrawn
tmeadwayd8,Idaho State University,withdrawn
ereed9f,University of Arizona,denied
asmidmore54,Florida Gulf Coast University,withdrawn
ogillamoa,Princeton University,denied
jgeelanfq,Fordham University,withdrawn
mviney77,"University of Nevada, Reno",withdrawn
bpinnion5u,Texas Tech University,waitlisted
nraglesa2,Hope College,deferred
afranktonb3,Fordham University,accepted
kbeards6x,Kalamazoo College,accepted
tchastan7o,Clarkson University,pending
ksellor9l,University of Arkansas,denied
eduddypk,Drexel University,pending
ktudgay8v,Rochester Institute of Technology,denied
ckorthu,Westmont College,deferred
ckorthu,Salve Regina University,withdrawn
awaddamsl7,Drake University,pending
afranktonb3,Washington & Jefferson College,accepted
mprimett25,DePaul University,deferred
npricketto0,Northwestern University,accepted
knurse21,Texas Tech University,accepted
gdonnersberggc,Rider University,pending
bantonowicz85,"University of California, Santa Barbara",withdrawn
khynsondb,"California State University, Fresno",denied
snys9c,Berry College,withdrawn
rmackain1a,Eastern Washington University,withdrawn
rduggary98,University of Arizona,pending
doxmw,Roger Williams University,accepted
kbesson5z,Smith College,withdrawn
amaccallisternq,Northwestern University,pending
