userid,college,status
gmulvihillhr,Drexel University,accepted
ciashviliky,Roger Williams University,withdrawn
seaglesa8,Lawrence Technological University,withdrawn
acornew1h,Fordham University,accepted
jboddyld,University of Arkansas,denied
bdargavelp9,University of Central Florida,withdrawn
lkeverenv,University of Richmond,withdrawn
wgiabucci2v,New York University,deferred
csidnell23,Massachusetts Institute of Technology,denied
dsparyp1,Mercer University,denied
jyelding2n,Utah State University,denied
lmaidendg,School of the Art Institute of Chicago,pending
emedddm,St Bonaventure University,deferred
mknevetpb,San Diego State University,pending
jwitterl8,University of Houston,pending
cbellinooo,Stevenson University,denied
kmaryanap,Westmont College,denied
cminihanpi,University of Hartford,denied
rgeater91,San Diego State University,waitlisted
dlaurencot8r,Texas Christian University,waitlisted
fsachnoiw,"California State University, East Bay",denied
kcogginau,Samford University,withdrawn
rstablespr,"California State University, Monterey Bay",accepted
dmitchleyow,Rice University,deferred
jgorgesf4,"California State University, Fresno",waitlisted
pearengeyit,Westmont College,deferred
jbernakiewiczcs,Hendrix College,waitlisted
gsavegehv,Saint Louis University,waitlisted
garrellqi,Kalamazoo College,pending
mmonaghan8,Saint Louis University,denied
lbagem,Roger Williams University,denied
fpllucc,Reed College,waitlisted
klinfoot1x,Rochester Institute of Technology,pending
wgonzaleska,Gordon College,waitlisted
mswanjr,Stevenson University,accepted
menrigoe8,Hope College,denied
hivanin8l,SUNY College of Environmental Science and Forestry,waitlisted
lmathesonbw,Eastern Illinois University,pending
acreginjd,University of Utah,deferred
ralennikov2j,Florida Gulf Coast University,withdrawn
fschiementzrc,The College of St Scholastica,pending
gpagettkg,Iona College,denied
pmedfordpf,Hope College,denied
rackensonkn,John Carroll University,waitlisted
omallatratt7d,University of Utah,accepted
gcorbin8t,Missouri University of Science and Technology,pending
mwatmanqz,Williams College,withdrawn
dbabinski6k,"University of California, Davis",withdrawn
fkeightley8h,Rider University,denied
jdurram61,Saint Louis University,withdrawn
acarnowm6,Lawrence Technological University,waitlisted
cwardhawn0,North Park University,withdrawn
naldiecr,University of Arkansas,pending
mdow24,University of Massachusetts Amherst,denied
ggaler8y,University of Maine,accepted
wgonzaleska,"California State University, Monterey Bay",accepted
ncasterotbe,Berry College,denied
varrelldh,Illinois College,waitlisted
gcroncheyie,University of Hartford,withdrawn
cbroxholmej1,Temple University,pending
crichenspq,Indiana University Bloomington,denied
lfateley48,Texas Christian University,accepted
jpowleslandm7,Samford University,denied
cleblond7i,Mercer University,waitlisted
rambroix7m,University of Houston,denied
dgladdis3w,Salve Regina University,accepted
pagiolfingerhp,Texas Christian University,denied
khickenbottomcn,Stony Brook University,accepted
jfilippozzidv,Colorado College,pending
sputtenq9,Colorado College,accepted
pbardillfu,Centre College,deferred
ccomo4r,Centre College,deferred
gritchmannb,Indiana University Bloomington,accepted
crichenspq,University of Maine,accepted
cbroxholmej1,University of Maine,waitlisted
mcaudelierdl,Rochester Institute of Technology,accepted
ncaldwallc4,Stevenson University,accepted
dsparyp1,Massachusetts Institute of Technology,withdrawn
egonthardjx,Mercer University,deferred
wglynnebs,Iona College,denied
hwoodwingp5,Wagner College,denied
wgonzaleska,"University of Nevada, Las Vegas",accepted
tchastan7o,Missouri University of Science and Technology,pending
gparelloe,University of Houston,accepted
kbeards6x,Reed College,withdrawn
collett4m,New York University,denied
kkinavana4,School of the Art Institute of Chicago,pending
lantonowiczrb,Gordon College,deferred
smccuddennh,University of Alabama,pending
tradnagec7,Westmont College,withdrawn
bmurgatroydmv,Florida Gulf Coast University,deferred
slapsley2a,University of Hartford,waitlisted
llossman4o,DePauw University,pending
bcarlettqk,Missouri University of Science and Technology,accepted
pmacilriach5k,Barnard College,waitlisted
cisaacsondc,Mount Holyoke College,pending
agarno3,University of Massachusetts Amherst,waitlisted
ebulgen94,University of Hartford,deferred
sgudd8o,University of Central Florida,deferred
bfranchyonok1i,Roger Williams University,withdrawn
cpardalop,New York University,withdrawn
cneighbour1u,Smith College,accepted
vdaughtreyph,Rice University,waitlisted
apaskinsro,Vassar College,pending
chamshawe2,Kennesaw State University,waitlisted
grigtsc1,Roger Williams University,deferred
gritchmannb,University of Montana,accepted
kdigiorgiojz,Drake University,deferred
cprescotha,The College of Wooster,pending
amaccallisternq,DePaul University,pending
rbrucen5,Drake University,pending
acornew1h,University of San Diego,denied
eclynmanov,Hope College,waitlisted
omallatratt7d,Florida Gulf Coast University,accepted
menrigoe8,The College of St Scholastica,deferred
gmogenotoz,"California State University, Monterey Bay",accepted
cmarfe3a,Barnard College,accepted
isneesbyor,Stony Brook University,denied
tlacasepm,Colgate University,withdrawn
agoldup9r,American University,accepted
bgatchell6r,Carnegie Mellon University,deferred
ltymcg,Texas Christian University,deferred
dgebuhreu,University of Delaware,denied
eantwisrf,"University of California, Santa Barbara",deferred
nkelloway9d,Eastern Illinois University,accepted
nkelloway9d,"California State University, Monterey Bay",withdrawn
gkeggins9g,Providence College,denied
flomiscz,SUNY College of Environmental Science and Forestry,deferred
nbasdenez,American University,pending
wbrownsallbj,The College of St Scholastica,waitlisted
wbierton1t,The College of St Scholastica,deferred
alivettpu,"California State University, East Bay",pending
sminguetkf,"California State University, Fresno",withdrawn
mknevetpb,Northwestern University,waitlisted
cbruna90,St Bonaventure University,deferred
ccroyserio,Manhattan College,waitlisted
chowlerm3,University of Utah,denied
jschneidar3z,University of Maine,accepted
kcookleygp,Indiana University Bloomington,accepted
imarquotfp,University of Houston,deferred
lgiddensey,Smith College,waitlisted
hverzeyi7,Siena College,pending
jorgen5s,Berry College,accepted
mplumbca,Vassar College,denied
atitchmarshdk,The College of St Scholastica,denied
jpattenep,Hendrix College,withdrawn
aputtrelldw,The College of Wooster,pending
pfarensp0,Berry College,accepted
jlurnerj5,University of Arkansas,denied
kiglesiagr,Colorado College,withdrawn
rcapelle84,Mississippi State University,waitlisted
scasalettoal,The College of St Scholastica,withdrawn
kjaquestu,Stevenson University,denied
ereed9f,William Jewell College,withdrawn
urissom5i,Eastern Illinois University,deferred
slapsley2a,Hope College,accepted
wdestoopo1,Mercer University,denied
dbabinski6k,Reed College,waitlisted
cpierson4q,Williams College,denied
hhuner9,University of Central Florida,denied
slabonqa,University of Montana,withdrawn
kpetraitisko,University of Arkansas,pending
bmurgatroydmv,University of Alabama at Birmingham,accepted
upetraccina,Westmont College,deferred
ogillamoa,Eastern Washington University,withdrawn
hwoodwingp5,DePaul University,waitlisted
srochewellir,Missouri University of Science and Technology,waitlisted
gconwellef,Manhattan College,accepted
rfarryanl6,Merrimack College,waitlisted
kcookleygp,School of the Art Institute of Chicago,accepted
mviney77,Campbell University,deferred
dyessonfr,St Bonaventure University,withdrawn
aleonardi9e,University of Alabama,accepted
emaccookk0,Centre College,denied
obatesonjk,Kennesaw State University,withdrawn
nivanyushkinnr,Central Connecticut State University,waitlisted
apail97,University of Massachusetts Amherst,withdrawn
kfullbrooknj,Barnard College,denied
nolivetiae,School of the Art Institute of Chicago,waitlisted
knurse21,Lawrence Technological University,withdrawn
jrotham7b,Gordon College,denied
kstoyellok,Roger Williams University,denied
mjouannye4,The College of St Scholastica,pending
lbachmanp8,William Jewell College,withdrawn
mnansom5v,University of Hartford,denied
urissom5i,"California State University, East Bay",pending
snys9c,Westmont College,deferred
bludlow2o,SUNY College of Environmental Science and Forestry,accepted
mborkett6w,Fordham University,deferred
bdargavelp9,University of Arizona,pending
rgheerhaertju,The College of St Scholastica,withdrawn
bantonowicz85,Eastern Washington University,pending
ltymcg,Roger Williams University,denied
grhydderchjc,University of Central Florida,accepted
lallot3,"California State University, Fresno",waitlisted
phayzerfa,"California State University, Fresno",pending
asollarsea,Utah State University,waitlisted
dmitchleyow,Mount Holyoke College,waitlisted
nbrosekefv,North Park University,deferred
hivanin8l,Suffolk University,denied
mriddalldf,John Carroll University,withdrawn
cwardhawn0,North Park University,waitlisted
sshawag,University of Montana,waitlisted
igeockleqw,University of Central Florida,withdrawn
fpirouet9j,University of Massachusetts Amherst,deferred
twabbps,Kennesaw State University,denied
cprisen4,University of Richmond,accepted
rbrucen5,Mercer University,pending
hmclernonfx,Franklin & Marshall College,accepted
smcgoldrick81,University of Massachusetts Amherst,accepted
kglanz6u,Lawrence Technological University,pending
sgudd8o,Mercer University,pending
hkitchingnm,Rice University,pending
jbaggedq,Manhattan College,pending
