userid,college,status
rromaintog,University of Massachusetts Amherst,pending
rfarryanl6,Eastern Illinois University,deferred
phammersley1w,University of Alabama at Birmingham,waitlisted
jtippettsi,Hendrix College,accepted
fprobettsac,Missouri University of Science and Technology,waitlisted
rabdeya7,Florida Gulf Coast University,accepted
kantognonibr,"University of Nevada, Reno",accepted
vdaughtreyph,Temple University,waitlisted
slabonqa,University of Alabama at Birmingham,deferred
mgrebnerpp,University of Massachusetts Amherst,accepted
rmackain1a,Eastern Illinois University,denied
oskoyleshk,Mount Holyoke College,pending
dfrancesch2s,Drexel University,withdrawn
asollarsea,Illinois College,withdrawn
dcancellariolr,Drake University,pending
dmechemb1,University of San Diego,withdrawn
cfilpi8m,North Park University,waitlisted
vpayntonbi,Temple University,accepted
gmulvihillhr,Mercer University,pending
lmcilhatton9z,Stevenson University,denied
asapir7a,University of Alabama at Birmingham,waitlisted
mkenricka0,The College of Wooster,denied
roscandallco,Saint Louis University,waitlisted
mvint7y,Nova Southeastern University,pending
dpitceathlygu,Gettysburg College,denied
rbladenel,University of San Diego,withdrawn
dfollet51,The College of Wooster,pending
nbrosekefv,Stony Brook University,waitlisted
cpardalop,Williams College,deferred
dmacalindeng1,Princeton University,deferred
uhavikb8,Rice University,withdrawn
bofahertyo7,University of Alabama,withdrawn
ftrott27,"University of California, Santa Cruz",deferred
bsextins,Roger Williams University,withdrawn
dshilvock9v,University of Alabama at Birmingham,pending
fwalford5r,Central Connecticut State University,withdrawn
mslixbyl5,American University,denied
aowensony,"California State University, East Bay",denied
cdunnanaj,Saint Louis University,withdrawn
lcampor0,Campbell University,pending
jcharlwoodao,University of San Diego,withdrawn
bcrossgv,Wagner College,waitlisted
bneubiginfb,"University of California, Santa Cruz",accepted
tcottieoc,"University of California, Santa Cruz",denied
jkarpfr4,Smith College,pending
omallatratt7d,Hendrix College,accepted
lmarchant63,Roger Williams University,waitlisted
nlendremob,"California State University, Fresno",accepted
lharriskinek1,University of Kentucky,waitlisted
pbardillfu,Mount Holyoke College,pending
oskoyleshk,University of Arkansas,withdrawn
eolensby4a,Barnard College,accepted
cdumbell68,Gordon College,pending
crubinovitchhz,University of Central Florida,waitlisted
mjentzsch4h,"California State University, Monterey Bay",accepted
ckenneway9i,Lawrence Technological University,deferred
tkummerlowepw,The College of St Scholastica,denied
mmisklm,"University of California, Santa Barbara",denied
lavramowmn,Missouri University of Science and Technology,withdrawn
vcovottikp,St Bonaventure University,pending
lantonowiczrb,Clarkson University,waitlisted
awoodalld0,Texas Christian University,waitlisted
oroskrug83,DePauw University,accepted
clembkeqb,New York University,denied
slacy9w,Rochester Institute of Technology,withdrawn
cdumbell68,Florida Gulf Coast University,pending
gledingtonhy,Princeton University,pending
dfrancesch2s,The College of Wooster,accepted
dfrancesch2s,University of Hartford,denied
pbuckbee1k,Moravian College,waitlisted
amaccallisternq,The College of St Scholastica,deferred
dboulsherc2,American University,accepted
cneesonki,Missouri University of Science and Technology,withdrawn
btarpeyqu,Carnegie Mellon University,deferred
ksimonettoaw,Roger Williams University,withdrawn
emacgorleyhw,St Bonaventure University,deferred
kcookleygp,William Jewell College,pending
pchevolleau5m,Iona College,withdrawn
khynsondb,John Carroll University,pending
chrinchishincj,University of Illinois at Chicago,withdrawn
fhanscomeqc,Westmont College,accepted
tbartleetkc,Colorado College,waitlisted
phayzerfa,Drake University,withdrawn
ldrysdellhl,Central Connecticut State University,accepted
rtoffanellini,Colgate University,accepted
ccrucesfs,The College of Wooster,denied
zroelofsenkd,Roger Williams University,waitlisted
pearengeyit,The College of Wooster,deferred
bbute3u,Siena College,withdrawn
dduffreekr,Rochester Institute of Technology,accepted
efennerbn,University of Illinois at Chicago,deferred
asollarsea,University of Arkansas,pending
agoldsec,University of Montana,waitlisted
srankling6i,Providence College,deferred
tradnagec7,Williams College,accepted
srankling6i,Suffolk University,accepted
smcnamee4k,Texas Tech University,pending
roscandallco,Saint Louis University,deferred
kmcalpin4x,"California State University, East Bay",denied
sribeygw,Westmont College,withdrawn
kharlockmp,The College of St Scholastica,withdrawn
sbeinbz,Washington & Jefferson College,pending
zmarchent1d,Mount Holyoke College,denied
jcursons41,Roger Williams University,waitlisted
bfairbournbm,Eastern Washington University,accepted
ogillamoa,Washington & Jefferson College,denied
fprobettsac,Roger Williams University,deferred
smccullock3h,Drake University,denied
jcheavinlo,Rider University,accepted
mroffey78,Mississippi State University,deferred
efarraway8x,Lawrence Technological University,denied
jpaschokw,Roger Williams University,accepted
apurkessqe,Lawrence Technological University,withdrawn
lwaterstonefj,Rice University,withdrawn
gdaglishpo,Indiana University Bloomington,waitlisted
fstokermf,University of Central Florida,denied
rloftier2,American University,pending
edatono9,Gettysburg College,denied
bneubiginfb,University of Arkansas,deferred
